st,year,tot_emp,sum_mean,a_mean,Inflation Rate,a_mean_inflation_adjusted
TN,2010,39660,2528325000,63750,1.10873487344,70681
TN,2011,43470,2855544300,65690,1.09197174662,71731
TN,2012,43550,2938754000,67480,1.06764126046,72044
TN,2013,46120,3151840800,68340,1.04388739602,71339
TN,2014,46550,3253845000,69900,1.02815334044,71867
TN,2015,48110,3350380400,69640,1.01711503645,70831
TN,2016,51340,3692886200,71930,1.0,71930
TX,2003,201480,12822187200,63640,1.30379195929,82973
TX,2004,215690,14110439800,65420,1.29396513819,84651
TX,2005,213500,14300230000,66980,1.26907088653,85002
TX,2006,231420,15771273000,68150,1.23617218625,84245
TX,2007,253170,17934562800,70840,1.19932570295,84960
TX,2008,266100,19364097000,72770,1.16193871831,84554
TX,2009,265030,20060120700,75690,1.13084367063,85593
TX,2010,263130,20366262000,77400,1.10873487344,85816
TX,2011,273170,21501210700,78710,1.09197174662,85949
TX,2012,292370,22953968700,78510,1.06764126046,83820
TX,2013,310440,24807260400,79910,1.04388739602,83417
TX,2014,332970,27170352000,81600,1.02815334044,83897
TX,2015,353760,30030686400,84890,1.01711503645,86342
TX,2016,350160,30435907200,86920,1.0,86920
UT,2003,25950,1345507500,51850,1.30379195929,67601
UT,2004,25990,1442964800,55520,1.29396513819,71840
UT,2005,27530,1642439800,59660,1.26907088653,75712
UT,2006,30680,1877002400,61180,1.23617218625,75629
UT,2007,31990,2096304700,65530,1.19932570295,78591
UT,2008,33040,2156851200,65280,1.16193871831,75851
UT,2009,32190,2180228700,67730,1.13084367063,76592
UT,2010,32100,2108328000,65680,1.10873487344,72821
UT,2011,32410,2228835700,68770,1.09197174662,75094
UT,2012,34700,2429000000,70000,1.06764126046,74734
UT,2013,35940,2573663400,71610,1.04388739602,74752
UT,2014,38440,2776521200,72230,1.02815334044,74263
UT,2015,40500,2988900000,73800,1.01711503645,75063
UT,2016,44830,3461324300,77210,1.0,77210
VA,2003,145540,9241790000,63500,1.30379195929,82790
VA,2004,157510,10868190000,69000,1.29396513819,89283
VA,2005,166640,12133058400,72810,1.26907088653,92401
VA,2006,176240,13797829600,78290,1.23617218625,96779
VA,2007,178180,14623232600,82070,1.19932570295,98428
VA,2008,178720,15307368000,85650,1.16193871831,99520
VA,2009,181120,15893280000,87750,1.13084367063,99231
VA,2010,181260,16083199800,88730,1.10873487344,98378
VA,2011,190030,17382044100,91470,1.09197174662,99882
VA,2012,199040,18486835200,92880,1.06764126046,99162
VA,2013,198700,18928162000,95260,1.04388739602,99440
VA,2014,195470,18511009000,94700,1.02815334044,97366
VA,2015,195140,18879795000,96750,1.01711503645,98405
VA,2016,198560,19566102400,98540,1.0,98540
VI,2003,220,9165200,41660,1.30379195929,54315
VI,2004,290,12081400,41660,1.29396513819,53906
VI,2005,330,13926000,42200,1.26907088653,53554
VI,2006,340,15840600,46590,1.23617218625,57593
VI,2007,330,16133700,48890,1.19932570295,58635
VI,2008,340,17822800,52420,1.16193871831,60908
VI,2009,360,19627200,54520,1.13084367063,61653
VI,2010,370,20842100,56330,1.10873487344,62455
VI,2011,390,23946000,61400,1.09197174662,67047
VI,2012,390,21660600,55540,1.06764126046,59296
VI,2013,380,19235600,50620,1.04388739602,52841
VI,2014,370,19036500,51450,1.02815334044,52898
VI,2015,370,20157600,54480,1.01711503645,55412
VI,2016,350,19974500,57070,1.0,57070
VT,2003,5270,304869500,57850,1.30379195929,75424
VT,2004,6300,371889000,59030,1.29396513819,76382
VT,2005,6200,359786000,58030,1.26907088653,73644
VT,2006,6100,362218000,59380,1.23617218625,73403
VT,2007,5750,353107500,61410,1.19932570295,73650
VT,2008,5620,357038600,63530,1.16193871831,73817
VT,2009,5990,390008900,65110,1.13084367063,73629
VT,2010,6560,440504000,67150,1.10873487344,74451
VT,2011,6840,453902400,66360,1.09197174662,72463
VT,2012,6790,465997700,68630,1.06764126046,73272
VT,2013,6350,435229000,68540,1.04388739602,71548
VT,2014,6560,471532800,71880,1.02815334044,73903
VT,2015,6800,502588000,73910,1.01711503645,75174
VT,2016,7060,539031000,76350,1.0,76350
WA,2003,84240,5632286400,66860,1.30379195929,87171
WA,2004,85630,6119976100,71470,1.29396513819,92479
WA,2005,88480,6536902400,73880,1.26907088653,93758
WA,2006,93500,7093845000,75870,1.23617218625,93788
WA,2007,102970,8091382600,78580,1.19932570295,94243
WA,2008,106950,8803054500,82310,1.16193871831,95639
WA,2009,111960,9432630000,84250,1.13084367063,95273
WA,2010,108130,9189968700,84990,1.10873487344,94231
WA,2011,119420,10339383600,86580,1.09197174662,94542
WA,2012,131130,11711220300,89310,1.06764126046,95351
WA,2013,140120,13664502400,97520,1.04388739602,101799
WA,2014,136530,13622963400,99780,1.02815334044,102589
WA,2015,143270,14670848000,102400,1.01711503645,104152
WA,2016,148670,15525608100,104430,1.0,104430
WI,2003,46520,2654896400,57070,1.30379195929,74407
WI,2004,48020,2820214600,58730,1.29396513819,75994
WI,2005,46120,2701709600,58580,1.26907088653,74342
WI,2006,48250,2891140000,59920,1.23617218625,74071
WI,2007,49750,3094450000,62200,1.19932570295,74598
WI,2008,51820,3323216600,64130,1.16193871831,74515
WI,2009,52570,3432821000,65300,1.13084367063,73844
WI,2010,57310,3799653000,66300,1.10873487344,73509
WI,2011,58600,3920926000,66910,1.09197174662,73063
WI,2012,60030,4095246600,68220,1.06764126046,72834
WI,2013,62150,4336205500,69770,1.04388739602,72832
WI,2014,66030,4616157300,69910,1.02815334044,71878
WI,2015,69390,4979426400,71760,1.01711503645,72988
WI,2016,74950,5411390000,72200,1.0,72200
WV,2003,7650,357025500,46670,1.30379195929,60847
WV,2004,7310,347371200,47520,1.29396513819,61489
WV,2005,6780,339949200,50140,1.26907088653,63631
WV,2006,7330,383725500,52350,1.23617218625,64713
WV,2007,7040,386144000,54850,1.19932570295,65783
WV,2008,7490,410751600,54840,1.16193871831,63720
WV,2009,7620,438150000,57500,1.13084367063,65023
WV,2010,8350,494153000,59180,1.10873487344,65614
WV,2011,9410,573069000,60900,1.09197174662,66501
WV,2012,9820,612080600,62330,1.06764126046,66546
WV,2013,9220,579661400,62870,1.04388739602,65629
WV,2014,9830,646715700,65790,1.02815334044,67642
WV,2015,9740,652482600,66990,1.01711503645,68136
WV,2016,10650,724093500,67990,1.0,67990
WY,2003,1870,78988800,42240,1.30379195929,55072
WY,2004,1780,81524000,45800,1.29396513819,59263
WY,2005,1930,87506200,45340,1.26907088653,57539
WY,2006,2070,99111600,47880,1.23617218625,59187
WY,2007,2040,104080800,51020,1.19932570295,61189
WY,2008,2210,117726700,53270,1.16193871831,61896
WY,2009,2200,119944000,54520,1.13084367063,61653
WY,2010,2210,124842900,56490,1.10873487344,62632
WY,2011,2290,131125400,57260,1.09197174662,62526
WY,2012,2620,153820200,58710,1.06764126046,62681
WY,2013,2750,166925000,60700,1.04388739602,63363
WY,2014,2730,168249900,61630,1.02815334044,63365
WY,2015,2650,160775500,60670,1.01711503645,61708
WY,2016,2650,164750500,62170,1.0,62170
