"Data Source","World Development Indicators",

"Last Updated Date","2017-05-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.93497947510949","-3.08910979344633","4.07393038630515","7.47549381985924","-1.01921152192513","9.14274114007718","4.76622079417474","0.616713218243817","-3.15053479556273","8.95772483812387","4.21369628776971","1.4908946307052","12.4624890218238","14.2757064472561","-5.13205559312389","","","","","","","",
"Afghanistan","AFG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.715672373963","11.2427294014823","10.9002679905063","7.17126073468187","22.3820157780035","2.17910328500052","-2.10708255443797","9.43779477259656","10.5611392868639","8.3047608561584","4.7175311842531","0.243080560140356","3.81714892377272","",
"Angola","AGO","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.72373541607564","-7.32159407173866","-5.30303028572969","49.4023904100798","0.300902726926068","169.905533034691","249.08700322891","1273.9912143769","2127.60986320439","1895.32408866612","5399.50685203614","94.3195709836863","35.3168252033454","556.939256858936","418.23295387368","106.322492424523","196.576793103168","84.8866230379751","39.7927671283854","26.8164318956669","13.041077495398","12.6164771813004","19.6815623483743","-7.41879877861696","22.3939121412599","24.16714105513","7.07021867455535","2.50473045055281","-1.36971289017515","-4.01764771604705","",
"Albania","ALB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-2.17736047335943","-0.017694288114015","-0.0167472951320633","-0.028354047802452","0.351197545147699","-2.37800113240307","2.86176310027031E-05","1.37766811292295E-06","-1.88781119447867E-06","-0.46870736419497","38.5683420713043","249.683437477533","114.835647695995","38.4164948024399","5.57330746066809","41.2755945031473","12.0887058980655","8.43236783768029","1.53333078004752","3.98128802586544","3.32885109049468","2.41058972790253","5.37972440765186","2.35708418542448","2.62101763278663","2.6960492574225","3.57619479891551","3.85766181958964","2.42263422495388","4.48998143415646","2.31020106673476","1.03996061572434","0.218876859272683","1.42233738463318","0.15953541940425","",
"Andorra","AND","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","7.84587099216796","8.51807771267011","11.8494338564742","15.94520129743","16.7817954081357","16.4898572117254","23.3830925590869","20.631041405079","16.931689072909","13.3548138463662","12.3511732158075","13.5823498290084","11.8842352505511","10.8647343709055","8.59546376147419","10.8788152564796","5.94419881012041","5.93612498877994","6.89620714766018","7.32624365429172","6.93514904139276","6.7107711637175","4.53723174638985","3.87985279924578","4.93312352666111","0.797176302646577","2.22816016825726","1.49955688927319","2.73197763564346","29.2262783030586","2.76941191051621","3.40106458146587","2.87920234926831","3.35034091768884","3.10029281587185","3.19940792411617","3.8699169557363","1.98010250710129","0.000109230003644711","1.60039701355863","2.49972900088144","1.09996692248266","-0.000194384952706628","","","",
"Arab World","ARB","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","1.30379017462108","3.23596570612727","6.88471890461126","2.69895573530748","12.182925809092","26.9226785018749","5.13941324800351","7.52452758433751","9.72401199955937","5.92516993571559","15.0505675967645","20.0283449286313","11.4320775842326","6.41380760713746","6.88749696075063","6.59117809192747","4.4784201966029","4.88397439560625","9.36808988985499","5.03381212890426","8.401589274565","14.28279390074","7.61051704037217","5.11898581538506","4.54566553079254","7.89003053556681","6.68404131896827","5.77304391647398","2.51989255360957","-0.299401034925182","5.81165476807901","10.1477408472463","0.779777622968922","3.56464237045269","5.70461192312841","10.8499541456777","11.9664316104799","8.84253138133646","6.42326175462149","14.7943192907593","-4.36578079392847","11.0846031929938","15.6932452073023","4.19385128628613","1.73986605438516","0.347302783087102","-0.998263601432214","",
"United Arab Emirates","ARE","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","11.7743313726959","5.25575609812852","-3.66111151479214","7.05102054499169","9.51597605017727","7.05448398662503","1.31286873100042","-3.61801722409237","-6.09746719206956","0.740532899812351","-1.69848531224136","3.68558479725063","2.3810457481282","1.75127659589577","3.33590051280306","0.81084872586257","1.80682610941712","1.27803630461915","-0.262474917208692","3.90747974672838","5.77304391647398","-0.952300716272092","-4.2544453162615","8.44337744949762","11.4595358056523","-2.3493076693014","3.77083954516183","4.0724067940058","8.5014220540065","16.526016881078","11.957075012285","12.5393412154707","18.5333530880511","-15.1829798846935","11.0034924283789","15.8100884122899","0.330968460539282","-0.637372457106579","0.347302783087102","-11.213185373134","",
"Argentina","ARG","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","20.3106975254864","28.8718416525056","25.5911543476777","28.7746173200713","21.2329349235212","25.6034624261878","29.0182629358227","10.2753105574406","7.79583003650706","6.46787463947705","31.2710638824965","64.2447859182741","65.5352873661713","30.6304413715572","197.697364540422","438.322779724218","159.427177705708","161.372172005774","147.377044038695","90.8408016189506","106.364099000329","207.617681377163","382.34943487912","606.73594119409","625.802140256708","74.461493403417","127.086376418998","388.491338916035","3057.62883602967","2076.79347310303","132.953228163938","11.920760221355","-1.46665994200747","2.84933971509302","3.16512339016516","-0.0523754965904146","-0.46391313116429","-1.70527962400085","-1.83655839220664","1.03728710073175","-1.09576771833679","30.555204053903","10.4957030215496","18.3633542536952","10.3175112003997","13.7410524806175","14.9399250112071","23.1711649847023","15.3776493797547","20.9151242678861","23.7034721865138","22.3148806829808","23.9487984088341","40.2829716385859","24.5453565247766","",
"Armenia","ARM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.3861042955971","568.807329969521","1391.16646056479","4107.29678609752","161.163917562694","19.5917703037548","17.73599450746","10.6984977480797","0.053804078495574","-1.37367599737229","4.06913993974796","2.36978781252253","4.5610983976887","6.30953271659584","3.2398362525059","4.61985766605841","4.2327703822816","5.98956235944519","2.55693505380631","7.76871548180418","4.28154999831665","5.34580441586994","3.36682464044367","2.3091824304923","1.17832686639846","",
"American Samoa","ASM","Inflation, GDP deflator (annual %)","NY.GDP.DEFL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70122177940937","-3.36653381394014","-1.36167464717741","2.89566946149191","2.81980742778542","11.1747609734898","25.7548845470693","-15.4185022026432","-0.639031234748671","17.3495685952265","2.52058927588645","-1.55835341394877","-0.615107008785174","",
