Inflation Rate,year
1.01711503645,2015
1.02815334044,2014
1.04388739602,2013
1.06764126046,2012
1.09197174662,2011
1.10873487344,2010
1.13084367063,2009
1.16193871831,2008
1.19932570295,2007
1.23617218625,2006
1.26907088653,2005
1.29396513819,2004
1.30379195929,2003
1.31971581453,2002
1.34696302972,2001
1.37177478219,2000
1.39392904215,1999
1.41888527407,1998
1.43415135239,1997
1.0,2016
